features.0.0.weight,features.0.1.weight,features.0.1.bias,features.1.conv.0.weight,features.1.conv.1.weight,features.1.conv.1.bias,features.1.conv.3.weight,features.1.conv.3.bias,features.1.conv.3.mask,features.1.conv.4.weight,features.1.conv.4.bias,features.2.conv.0.weight,features.2.conv.0.bias,features.2.conv.0.mask,features.2.conv.1.weight,features.2.conv.1.bias,features.2.conv.3.weight,features.2.conv.4.weight,features.2.conv.4.bias,features.2.conv.6.weight
-0.033574928,0.0,0.0,-0.039976038,0.0,0.0,0.010968147,0.0,1.0,0.0,0.0,0.21679993,0.0,1.0,0.5024179,-0.032042835,-0.22975591,0.27653614,0.2377431,-0.43881968
-0.2954251,0.0,0.0,0.17693001,0.0,0.0,0.02179549,0.0,1.0,0.0,0.0,-0.0638353,0.0,1.0,0.23036693,0.39281368,0.22526312,0.39308062,0.042183798,0.036761325
0.40035564,0.0,0.0,0.670563,0.0,0.0,-0.006587558,0.0,1.0,0.0,0.0,-0.1150225,0.0,1.0,0.40143266,0.23185532,-0.013435593,0.35261652,-0.0074793687,0.16591714
0.013276957,0.0,0.0,0.0037404622,0.0,0.0,0.07147435,0.0,1.0,0.0,0.0,-0.20877147,0.0,1.0,0.50932604,-0.0025937445,-0.010443786,0.42434865,0.01894237,0.13466549
0.016476538,0.0,0.0,-0.011643222,0.0,0.0,0.28452274,0.0,1.0,0.0,0.0,0.05296277,0.0,1.0,0.39784855,-0.49271688,-0.0758102,0.15244462,0.058865845,0.07925743
-0.008398768,0.0,0.0,-0.0053164745,0.0,0.0,-0.017204924,0.0,1.0,0.0,0.0,-0.11019055,0.0,1.0,0.18464647,0.63429683,-0.029627837,0.29881987,0.9269738,-0.019299181
0.0055849147,0.0,0.0,-0.04996598,0.0,0.0,-0.30281296,0.0,1.0,0.0,0.0,0.018488076,0.0,1.0,0.6400047,0.019614086,-0.08132932,0.27618384,0.22846852,0.22678989
-0.55194384,0.0,0.0,-0.0784632,0.0,0.0,-0.0064692097,0.0,1.0,0.0,0.0,0.3376365,0.0,1.0,0.37728786,-0.007443824,-0.25419912,-0.23188432,0.5585309,0.4452872
0.45227215,0.0,0.0,-0.15536477,0.0,0.0,-0.009425141,0.0,1.0,0.0,0.0,0.09757823,0.0,1.0,0.5057858,-0.0016798557,-0.15129012,0.29029605,0.26352274,-0.23398265
-0.046675935,0.0,0.0,-0.012118629,0.0,0.0,0.13744274,0.0,1.0,0.0,0.0,0.10730631,0.0,1.0,0.50019574,-0.0015631292,-0.071361646,0.24590914,0.21534607,-0.23248874
-0.58011895,0.0,0.0,1.0028464,0.0,0.0,0.20448616,0.0,1.0,0.0,0.0,0.26824814,0.0,1.0,0.40281352,0.22020066,-0.27895167,0.32155302,0.0018140746,0.108490296
0.7471652,0.0,0.0,-0.21314548,0.0,0.0,-0.048092727,0.0,1.0,0.0,0.0,0.17476638,0.0,1.0,0.4819834,-0.05425373,-0.12754896,-0.2276566,0.22334884,-0.0749256
-0.015382469,0.0,0.0,-0.041536205,0.0,0.0,-0.015993511,0.0,1.0,0.0,0.0,0.027290268,0.0,1.0,0.25291917,-0.39215288,-0.02120177,0.23731458,0.063696794,-0.16185245
0.009657287,0.0,0.0,0.010400026,0.0,0.0,0.0013623576,0.0,1.0,0.0,0.0,-0.23275213,0.0,1.0,0.6658972,-0.044769097,-0.03242773,0.68783766,-0.44183502,0.07726339
-0.01245236,0.0,0.0,0.005413613,0.0,0.0,0.00034801307,0.0,1.0,0.0,0.0,0.14054665,0.0,1.0,0.33626184,0.24894647,-0.019840943,0.35033438,0.008561289,0.11667622
0.01403758,0.0,0.0,0.03389863,0.0,0.0,-0.49399823,0.0,1.0,0.0,0.0,-0.11046101,0.0,1.0,0.33764648,0.38686872,-0.015948175,0.34012297,0.051294435,0.08861741
-0.14008397,0.0,0.0,0.08654419,0.0,0.0,-0.5840313,0.0,1.0,0.0,0.0,0.061809923,0.0,1.0,0.51104,-0.019728709,-0.03141939,0.33756167,0.1912393,-0.076524705
