Identifier,Evaluation,Tricked,2-Norm for Adv.-Image,Class,filename,match_count
Jitter,31502,True,8.481727600097656,630,SCP Default.csv,
Jitter,34638,True,8.169937133789062,692,SCP Default.csv,
Jitter,29785,True,8.509251594543457,595,SCP Default.csv,
Jitter,21816,True,8.308842658996582,436,SCP Default.csv,
Jitter,15664,True,8.047751426696777,313,SCP Default.csv,
Jitter,46751,True,8.453601837158203,935,SCP Default.csv,
Jitter,37438,True,8.528647422790527,748,SCP Default.csv,
Jitter,40603,True,7.951421737670898,812,SCP Default.csv,
Jitter,46520,True,8.47368335723877,930,SCP Default.csv,
Jitter,22878,True,8.623052597045898,457,SCP Default.csv,
Jitter,14162,True,8.260846138000488,283,SCP Default.csv,
Jitter,13665,True,8.298810005187988,273,SCP Default.csv,
Jitter,6405,True,8.738846778869629,128,SCP Default.csv,
Jitter,10143,True,8.237905502319336,202,SCP Default.csv,
Jitter,5805,True,8.713629722595215,116,SCP Default.csv,
Jitter,13075,True,8.169368743896484,261,SCP Default.csv,
Jitter,30698,True,9.0657320022583,613,SCP Default.csv,
Jitter,91,True,7.786494731903076,1,SCP Default.csv,
Jitter,3993,True,8.460915565490723,79,SCP Default.csv,
Jitter,25040,True,8.193599700927734,500,SCP Default.csv,
Jitter,30471,True,8.57905101776123,609,SCP Default.csv,
Jitter,29886,True,8.152996063232422,597,SCP Default.csv,
Jitter,7337,True,8.457368850708008,146,SCP Default.csv,
Jitter,1991,True,8.399478912353516,39,SCP Default.csv,
Jitter,885,True,8.297755241394043,17,SCP Default.csv,
Jitter,2223,True,7.996692180633545,44,SCP Default.csv,
Jitter,49943,True,8.288264274597168,998,SCP Default.csv,
Jitter,42010,True,8.622220993041992,840,SCP Default.csv,
Jitter,15923,True,7.960200786590576,318,SCP Default.csv,
Jitter,21678,True,8.573959350585938,433,SCP Default.csv,
Jitter,26085,True,8.433568000793457,521,SCP Default.csv,
Jitter,12664,True,8.570423126220703,253,SCP Default.csv,
Jitter,34350,True,8.994407653808594,687,SCP Default.csv,
Jitter,19658,True,8.925396919250488,393,SCP Default.csv,
Square,46751,True,11.402153968811035,935,SCP Default.csv,
BPDA,31502,True,12.16920280456543,630,Trivial Default.csv,
BPDA,33014,True,12.040465354919434,660,Trivial Default.csv,
BPDA,34638,True,12.16321849822998,692,Trivial Default.csv,
BPDA,29785,True,12.17047119140625,595,Trivial Default.csv,
BPDA,21816,True,11.442635536193848,436,Trivial Default.csv,
BPDA,15664,True,12.169355392456056,313,Trivial Default.csv,
BPDA,46751,True,11.400166511535645,935,Trivial Default.csv,
BPDA,37438,True,12.170973777770996,748,Trivial Default.csv,
BPDA,40603,True,11.0347900390625,812,Trivial Default.csv,
BPDA,13665,True,12.171244621276855,273,Trivial Default.csv,
BPDA,6405,True,12.104753494262695,128,Trivial Default.csv,
BPDA,10143,True,12.118948936462402,202,Trivial Default.csv,
